TimeHrs,SampleNames,Beads,TotalCells,gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8
19.5,3,1,13374.39222,13374.39222,0,0,0,0,0,0,0,0
19.5,3,1,13100.77519,13100.77519,0,0,0,0,0,0,0,0
19.5,3,1,12904.31061,12904.31061,0,0,0,0,0,0,0,0
19.5,1.5,1,12073.64926,12073.64926,0,0,0,0,0,0,0,0
19.5,1.5,1,13256.88073,13256.88073,0,0,0,0,0,0,0,0
19.5,1.5,1,12076.33588,12076.33588,0,0,0,0,0,0,0,0
19.5,0.75,1,11352.08711,11352.08711,0,0,0,0,0,0,0,0
19.5,0.75,1,11877.96209,11877.96209,0,0,0,0,0,0,0,0
19.5,0.75,1,11936.46915,11936.46915,0,0,0,0,0,0,0,0
19.5,0.38,1,10799.16193,10799.16193,0,0,0,0,0,0,0,0
19.5,0.38,1,11644.52318,11644.52318,0,0,0,0,0,0,0,0
19.5,0.38,1,10811.9403,10811.9403,0,0,0,0,0,0,0,0
19.5,0.19,1,8935.251799,8935.251799,0,0,0,0,0,0,0,0
19.5,0.19,1,9685.314685,9685.314685,0,0,0,0,0,0,0,0
19.5,0.19,1,9983.427246,9983.427246,0,0,0,0,0,0,0,0
27.5,3,1,14280.66795,14280.66795,0,0,0,0,0,0,0,0
27.5,3,1,13390.87546,13390.87546,0,0,0,0,0,0,0,0
27.5,3,1,12836.37488,12836.37488,0,0,0,0,0,0,0,0
27.5,1.5,1,12733.22933,12733.22933,0,0,0,0,0,0,0,0
27.5,1.5,1,12441.68434,12441.68434,0,0,0,0,0,0,0,0
27.5,1.5,1,11854.95954,11854.95954,0,0,0,0,0,0,0,0
27.5,0.75,1,11798.74214,11798.74214,0,0,0,0,0,0,0,0
27.5,0.75,1,11706.81551,11706.81551,0,0,0,0,0,0,0,0
27.5,0.75,1,11639.63964,11639.63964,0,0,0,0,0,0,0,0
27.5,0.38,1,11332.3124,11332.3124,0,0,0,0,0,0,0,0
27.5,0.38,1,11376.87555,11376.87555,0,0,0,0,0,0,0,0
27.5,0.38,1,10492.42424,10492.42424,0,0,0,0,0,0,0,0
27.5,0.19,1,9675.980975,9675.980975,0,0,0,0,0,0,0,0
27.5,0.19,1,10577.65989,10577.65989,0,0,0,0,0,0,0,0
27.5,0.19,1,10406.64886,10406.64886,0,0,0,0,0,0,0,0
44,3,1,35539.52683,1679.169071,11794.57588,18188.1131,3225.620312,351.9907675,225.0432776,23.0813618,51.93306405,0
44,3,1,32969.41679,1977.240398,11233.99716,16447.36842,2631.578947,327.1692745,309.3883357,0,42.6742532,0
44,3,1,30562.8909,1987.491313,11025.01737,14735.92773,2220.291869,354.4127867,205.0034746,31.27171647,3.474635163,0
44,1.5,1,32029.03683,2078.611898,11501.41643,15364.73088,2393.767705,421.388102,237.2521246,31.86968839,0,0
44,1.5,1,31960.098,2135.106755,11526.0763,15516.27581,2278.613931,231.0115506,199.5099755,59.50297515,0,14.00070004
44,1.5,1,28013.78858,1992.777413,11313.19764,12390.0197,1802.363756,344.7143795,137.8857518,26.26395272,6.565988181,0
44,0.75,1,27168.45878,2023.460411,10540.8928,11880.09123,2199.41349,384.4900619,123.8188335,0,16.29195178,0
44,0.75,1,27616.16805,2231.063017,11257.16104,12285.16868,1438.574157,190.9611712,210.0572884,0,3.182686187,0
44,0.75,1,23961.79914,2359.82748,10354.28219,9812.076402,1075.169439,160.1971657,172.5200246,0,27.72643253,0
44,0.38,1,23961.91646,2696.560197,10540.54054,9416.461916,967.4447174,199.6314496,116.7076167,0,21.4987715,3.071253071
44,0.38,1,23007.82382,2642.712257,9800.057954,8913.358447,1248.913358,188.3512025,130.3969864,37.67024051,0,46.36337294
44,0.38,1,19473.25988,2456.328944,8830.95942,6955.119592,954.0446117,185.4340231,72.56113948,0,18.81214727,0
44,0.19,1,18296.2168,4054.199088,7472.497988,5253.555138,1159.109203,356.8553797,0,0,0,0
44,0.19,1,17551.6812,3579.078456,7202.988792,5163.138232,1327.521793,278.9539228,0,0,0,0
44,0.19,1,15554.48641,3805.629059,6680.298292,3933.12485,878.0370459,257.3971614,0,0,0,0
52,3,1,80840.33613,782.5630252,2683.823529,15982.14286,44485.29412,14763.65546,1465.336134,546.2184874,36.76470588,94.53781513
52,3,1,77650.87282,932.6683292,2688.279302,16019.95012,42583.54115,13102.24439,1476.309227,768.0798005,0,79.80049875
52,3,1,75463.96841,809.4768016,2532.082922,15533.07009,41831.19447,13045.40967,952.6159921,631.786772,69.10167818,59.23000987
52,1.5,1,75407.11848,911.7503657,2462.213554,16455.38762,40609.4588,12540.22428,1794.246709,575.3291078,0,58.50804486
52,1.5,1,69981.00665,959.1642925,2630.579297,16467.23647,36657.16999,11462.48813,1329.534663,313.3903134,151.9468186,9.496676163
52,1.5,1,64240.28269,689.0459364,2336.572438,15048.58657,34743.81625,9690.812721,954.0636042,680.2120141,35.33568905,61.83745583
52,0.75,1,61144.87927,899.2506245,2901.748543,15882.59784,31461.28226,8164.029975,1240.632806,516.2364696,79.10074938,0
52,0.75,1,63297.32066,825.4105445,2904.06223,15993.94987,32653.414,9347.450303,1028.52204,509.9394987,12.96456353,21.60760588
52,0.75,1,62079.16667,820.8333333,2904.166667,15962.5,32337.5,8066.666667,1270.833333,587.5,0,129.1666667
52,0.38,1,55476.00619,1304.179567,3529.411765,16257.73994,26931.11455,6041.021672,847.5232198,452.7863777,0,112.2291022
52,0.38,1,56213.86139,1259.405941,3841.584158,16336.63366,26617.82178,6677.227723,986.1386139,316.8316832,0,178.2178218
52,0.38,1,53471.38554,1046.686747,3535.391566,16163.40361,25180.72289,6265.060241,700.3012048,432.9819277,0,146.8373494
52,0.19,1,37734.44478,1902.35189,4397.142007,12896.69545,14075.61774,3623.102114,535.873772,187.5558202,68.47275975,47.63322417
52,0.19,1,39425.18248,1760.948905,4358.272506,13634.42822,14787.10462,3795.620438,742.0924574,212.8953771,91.24087591,42.57907543
52,0.19,1,38707.13202,1717.754173,4418.816388,13256.44917,14628.22458,3559.939302,691.9575114,285.2807284,94.08194234,54.62822458
68,3,1,152871.1898,373.6479843,668.633235,4749.262537,18475.90954,50216.32252,67728.61357,8367.748279,1514.25762,776.7944936
68,3,1,175905.0773,320.0883002,971.3024283,4889.624724,21291.39073,57527.59382,77593.81898,10022.07506,2317.880795,971.3024283
68,3,1,152871.1898,373.6479843,668.633235,4749.262537,18475.90954,50216.32252,67728.61357,8367.748279,1514.25762,776.7944936
68,1.5,1,155792.0792,306.9306931,792.0792079,4811.881188,19514.85149,53415.84158,67306.93069,7554.455446,1742.574257,346.5346535
68,1.5,1,165784.5188,543.9330544,1025.104603,5115.062762,21537.6569,55930.96234,69466.5272,9633.891213,2154.811715,376.5690377
68,1.5,1,145264.6503,311.9092628,793.9508507,4338.374291,18223.06238,50529.30057,60170.13233,8487.712665,2032.136106,378.0718336
68,0.75,1,139382.9401,444.646098,907.4410163,5045.372051,21125.22686,51007.25953,52586.2069,6370.235935,1379.310345,517.2413793
68,0.75,1,143015.4405,608.537693,1062.6703,5358.764759,21680.29064,52043.59673,53714.80472,6612.170754,1752.951862,181.6530427
68,0.75,1,128829.5165,381.6793893,703.9864292,4927.905004,18117.04835,47421.54368,48888.88889,6776.929601,1594.571671,16.96352841
68,0.38,1,114441.9643,669.6428571,1019.345238,5483.630952,18980.65476,42098.21429,39880.95238,4583.333333,1294.642857,431.547619
68,0.38,1,116614.3498,889.387145,859.4917788,5440.956652,18908.81913,43527.65321,41150.9716,4275.037369,1158.445441,403.5874439
68,0.38,1,110686.6326,752.3739956,971.5120526,4886.778671,18758.21768,40518.62673,38575.60263,4850.255661,1373.265157,0
68,0.19,1,83096.95291,2110.803324,2299.168975,9357.34072,19717.45152,27905.81717,17340.72022,3124.65374,842.1052632,398.8919668
68,0.19,1,78919.06283,1911.608094,2406.815761,9030.883919,19148.02982,26134.1853,16347.17785,2758.253461,905.2183174,276.8903088
68,0.19,1,78501.08225,1563.852814,2343.073593,9745.670996,19734.84848,26217.53247,15113.63636,2743.506494,735.9307359,303.030303
80.5,3,1,151554.8098,290.8277405,648.7695749,3478.747204,13814.31767,41006.71141,65346.75615,20436.24161,5671.14094,861.2975391
80.5,3,1,136846.9388,275.5102041,479.5918367,3438.77551,12275.5102,35540.81633,57295.91837,19255.10204,7163.265306,1122.44898
80.5,3,1,134665.3347,319.6803197,279.7202797,3366.633367,11688.31169,35174.82517,56963.03696,19300.6993,6923.076923,649.3506494
80.5,1.5,1,132584.7047,290.4162633,454.9854792,3223.620523,12691.19071,35546.95063,55024.20136,18702.80736,6466.60213,183.9303001
80.5,1.5,1,134125.1222,195.5034213,576.7350929,3792.766373,13489.73607,35444.77028,54838.70968,18719.45259,6803.519062,263.9296188
80.5,1.5,1,113074.266,328.1519862,310.880829,2962.003454,12029.36097,30664.93955,47417.962,14792.74611,4568.221071,0
80.5,0.75,1,118162.0209,252.6132404,304.8780488,3667.247387,12325.78397,33057.49129,49651.56794,14468.64111,4433.797909,0
80.5,0.75,1,118259.7403,268.3982684,528.1385281,4000,12562.77056,32857.14286,48883.11688,14432.90043,4727.272727,0
80.5,0.75,1,109451.3716,199.5012469,598.5037406,2992.518703,12078.13799,31911.88695,44804.65503,12801.33001,4064.837905,0
80.5,0.38,1,108333.3333,639.8104265,545.0236967,4210.110585,13443.91785,30710.90047,41879.93681,11619.2733,4857.819905,426.5402844
80.5,0.38,1,102104.4663,333.0809992,862.9825889,4065.102195,12876.60863,28856.92657,39500.3785,10893.26268,4413.32324,302.8009084
80.5,0.38,1,93658.53659,373.0272597,416.0688666,3522.238164,12826.39885,27001.43472,36470.58824,9289.813486,3708.751793,50.21520803
80.5,0.19,1,72029.22078,1255.411255,1314.935065,4512.987013,11937.22944,21336.58009,20606.06061,7353.896104,2640.692641,1071.428571
80.5,0.19,1,78210.95571,1369.463869,1497.668998,4924.242424,12733.10023,22127.03963,22185.31469,8787.878788,3327.505828,1258.741259
80.5,0.19,1,67248.81641,1020.515518,1273.014203,4781.693845,11357.18043,19563.38769,19121.51499,6617.5697,2440.820621,1073.119411
95.5,3,1,102645.3144,201.6607355,296.5599051,2716.488731,9655.99051,26832.74021,38362.98932,13606.16845,7319.098458,3653.618031
95.5,3,1,104282.2384,158.1508516,328.4671533,2810.218978,9768.856448,26739.65937,40389.2944,13613.13869,6885.644769,3588.807786
95.5,3,1,96323.87707,212.7659574,260.0472813,2281.323877,9326.241135,24787.23404,36725.76832,12848.69976,6619.385343,3262.411348
95.5,1.5,1,85669.05005,183.8610827,214.5045965,1797.752809,7865.168539,22073.54443,32819.20327,11573.03371,6098.059244,3043.92237
95.5,1.5,1,91130.24758,172.2282024,376.7491927,2357.37352,9160.387513,23390.74273,34122.71259,12357.37352,6329.386437,2863.293864
95.5,1.5,1,89314.47225,141.4581066,282.9162133,2187.159956,8988.030468,23384.11317,33427.63874,11947.76931,6115.342764,2840.043526
95.5,0.75,1,83257.87402,177.1653543,482.2834646,2490.15748,8523.622047,22145.66929,30570.86614,10807.08661,5570.866142,2490.15748
95.5,0.75,1,82988.9669,250.7522568,330.9929789,2477.432297,9187.562688,21825.47643,29548.64594,10431.29388,6128.385155,2808.425276
95.5,0.75,1,69502.71248,235.0813743,271.2477396,2594.936709,8236.889693,19059.6745,24692.5859,7314.647378,4710.669078,2386.980108
95.5,0.38,1,73091.37489,315.969257,614.8590948,3023.057216,10102.47652,20187.87361,23620.83689,8616.567037,4756.618275,1853.116994
95.5,0.38,1,74818.10115,346.0514641,559.0062112,3087.843833,9884.649512,20452.52884,24188.11003,8722.271517,5270.629991,2307.00976
95.5,0.38,1,61586.68731,278.6377709,332.8173375,2863.77709,8003.095975,16996.90402,21137.7709,6787.925697,3637.770898,1547.987616
95.5,0.19,1,53671.19901,988.8751545,1007.416564,3702.10136,8411.619283,12768.85043,14548.82571,6681.087763,3745.364648,1817.058096
95.5,0.19,1,55023.10231,884.4884488,1128.712871,3854.785479,8640.264026,13313.53135,14818.48185,7102.310231,3564.356436,1716.171617
95.5,0.19,1,48247.10895,803.4083993,1004.260499,3499.695679,7863.664029,12306.75593,13024.95435,5873.402313,2671.94157,1199.026172
124,3,1,62670.22697,267.0226969,453.9385848,1962.616822,6555.40721,18958.61148,22883.84513,4619.492657,4579.439252,2389.853138
124,3,1,56238.76765,205.3915276,243.902439,1142.490372,5930.680359,16816.43132,21412.06675,4210.526316,4094.993582,2182.284981
124,3,1,55204.96894,111.8012422,335.4037267,1913.043478,6012.42236,16223.60248,20596.27329,4062.111801,3913.043478,2037.267081
124,1.5,1,53884.19783,168.8781665,373.9445115,1568.154403,7515.078408,16055.48854,20205.06634,3389.626055,3172.496984,1435.464415
124,1.5,1,55325,250,337.5,2162.5,7150,16475,20475,3462.5,3362.5,1650
124,1.5,1,52936.8932,218.4466019,242.7184466,1844.660194,6674.757282,15970.87379,19453.8835,3458.737864,3385.92233,1686.893204
124,0.75,1,41158.97436,225.6410256,225.6410256,2564.102564,5938.461538,12512.82051,13846.15385,2194.871795,2543.589744,1107.692308
124,0.75,1,48179.80022,233.0743618,321.8645949,2630.410655,6581.576027,15061.04329,17203.10766,2774.694784,2608.213097,765.8157603
124,0.75,1,38654.43425,244.648318,428.1345566,1478.083588,5463.812436,11824.66871,12976.55454,2313.965341,2742.099898,1182.466871
124,0.38,1,38017.40812,338.4912959,367.5048356,3230.174081,6257.253385,11750.48356,12040.61896,1363.636364,1992.263056,676.9825919
124,0.38,1,34354.27574,296.6841187,445.026178,2425.82897,6090.750436,10479.93019,10636.99825,1317.626527,1945.898778,715.5322862
